composer,piece,S->S,S->A,S->W,A->S,A->A,A->W,W->S,W->A,W->W
Bach,BWV806_01_Prelude_reviewed,0.23140495867768596,0.09917355371900827,0.17355371900826447,0.1487603305785124,0.1322314049586777,0.024793388429752067,0.10743801652892562,0.0743801652892562,0.008264462809917356
Bach,BWV806_02_Allemande_reviewed,0.4714285714285714,0.22857142857142856,0.04285714285714286,0.17142857142857143,0.05714285714285714,0.0,0.02857142857142857,0.0,0.0
Bach,BWV806_03_Courante_I_reviewed,0.3384615384615385,0.18461538461538463,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.06153846153846154,0.09230769230769231,0.015384615384615385,0.0
Bach,BWV806_04_Courante_II_reviewed,0.3064516129032258,0.0967741935483871,0.08064516129032258,0.22580645161290322,0.20967741935483872,0.0,0.04838709677419355,0.03225806451612903,0.0
Bach,BWV806_05_Double_I_reviewed,0.2465753424657534,0.1506849315068493,0.0958904109589041,0.2328767123287671,0.1095890410958904,0.0136986301369863,0.0684931506849315,0.0821917808219178,0.0
Bach,BWV806_06_Double_II_reviewed,0.40298507462686567,0.13432835820895522,0.1044776119402985,0.19402985074626866,0.04477611940298507,0.0,0.08955223880597014,0.029850746268656716,0.0
Bach,BWV806_07_Sarabande_reviewed,0.4473684210526316,0.15789473684210525,0.07894736842105263,0.05263157894736842,0.02631578947368421,0.07894736842105263,0.10526315789473684,0.05263157894736842,0.0
Bach,BWV806_08_Bouree_I_reviewed,0.26595744680851063,0.10638297872340426,0.1595744680851064,0.11702127659574468,0.10638297872340426,0.02127659574468085,0.19148936170212766,0.031914893617021274,0.0
Bach,BWV806_09_Bouree_II_reviewed,0.2112676056338028,0.11267605633802817,0.14084507042253522,0.08450704225352113,0.19718309859154928,0.028169014084507043,0.056338028169014086,0.14084507042253522,0.028169014084507043
Bach,BWV806_10_Gigue_reviewed,0.5555555555555556,0.07777777777777778,0.07777777777777778,0.08888888888888889,0.05555555555555555,0.022222222222222223,0.12222222222222222,0.0,0.0
Bach,BWV807_01_Prelude_reviewed,0.30257510729613735,0.07725321888412018,0.10300429184549356,0.08369098712446352,0.22532188841201717,0.0407725321888412,0.10944206008583691,0.05793991416309013,0.0
Bach,BWV807_02_Allemande_reviewed,0.3522727272727273,0.18181818181818182,0.07954545454545454,0.13636363636363635,0.045454545454545456,0.03409090909090909,0.09090909090909091,0.06818181818181818,0.011363636363636364
Bach,BWV807_03_Courante_reviewed,0.27692307692307694,0.13846153846153847,0.07692307692307693,0.18461538461538463,0.1076923076923077,0.046153846153846156,0.06153846153846154,0.09230769230769231,0.015384615384615385
Bach,BWV807_04a_Agrements_de_la_Sarabande_reviewed,0.2777777777777778,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.027777777777777776,0.08333333333333333,0.1111111111111111
Bach,BWV807_04_Sarabande_reviewed,0.08333333333333333,0.19444444444444445,0.027777777777777776,0.08333333333333333,0.16666666666666666,0.2222222222222222,0.027777777777777776,0.1388888888888889,0.05555555555555555
Bach,BWV807_05_Bourree_I_reviewed,0.2702702702702703,0.05405405405405406,0.22972972972972974,0.12162162162162163,0.08108108108108109,0.013513513513513514,0.1891891891891892,0.04054054054054054,0.0
Bach,BWV807_06_Bourree_II_reviewed,0.3157894736842105,0.02631578947368421,0.21052631578947367,0.07894736842105263,0.10526315789473684,0.02631578947368421,0.10526315789473684,0.10526315789473684,0.02631578947368421
Bach,BWV807_07_Gigue_reviewed,0.4111111111111111,0.13333333333333333,0.12222222222222222,0.16666666666666666,0.011111111111111112,0.011111111111111112,0.1,0.03333333333333333,0.011111111111111112
Bach,BWV808_01_Prelude_reviewed,0.45933014354066987,0.14832535885167464,0.019138755980861243,0.06698564593301436,0.15789473684210525,0.04784688995215311,0.09090909090909091,0.009569377990430622,0.0
Bach,BWV808_02_Allemande_reviewed,0.44047619047619047,0.11904761904761904,0.05952380952380952,0.11904761904761904,0.08333333333333333,0.047619047619047616,0.047619047619047616,0.07142857142857142,0.011904761904761904
Bach,BWV808_03_Courante_reviewed,0.449438202247191,0.11235955056179775,0.10112359550561797,0.06741573033707865,0.056179775280898875,0.0449438202247191,0.07865168539325842,0.0898876404494382,0.0
Bach,BWV808_04a_Agrements_de_la_Sarabande_reviewed,0.3333333333333333,0.0,0.2777777777777778,0.1111111111111111,0.0,0.0,0.05555555555555555,0.2222222222222222,0.0
Bach,BWV808_04_Sarabande_reviewed,0.3333333333333333,0.047619047619047616,0.23809523809523808,0.09523809523809523,0.09523809523809523,0.0,0.047619047619047616,0.14285714285714285,0.0
Bach,BWV808_05_Gavotte_I_reviewed,0.1724137931034483,0.22413793103448276,0.017241379310344827,0.1896551724137931,0.15517241379310345,0.06896551724137931,0.05172413793103448,0.10344827586206896,0.017241379310344827
Bach,BWV808_06_Gavotte_II_reviewed,0.022222222222222223,0.044444444444444446,0.1111111111111111,0.06666666666666667,0.4888888888888889,0.06666666666666667,0.1111111111111111,0.06666666666666667,0.022222222222222223
Bach,BWV808_07_Gigue_reviewed,0.21019108280254778,0.17834394904458598,0.03184713375796178,0.17197452229299362,0.22929936305732485,0.03821656050955414,0.01910828025477707,0.06369426751592357,0.05732484076433121
Bach,BWV809_01_Prelude_reviewed,0.39509536784741145,0.1553133514986376,0.07356948228882834,0.16621253405994552,0.1008174386920981,0.027247956403269755,0.021798365122615803,0.051771117166212535,0.008174386920980926
Bach,BWV809_02_Allemande_reviewed,0.47619047619047616,0.20634920634920634,0.015873015873015872,0.15873015873015872,0.07936507936507936,0.031746031746031744,0.031746031746031744,0.0,0.0
