composer,piece,S,A,W
Bach,BWV806_01_Prelude_reviewed,0.5436241610738255,0.2751677852348993,0.18120805369127516
Bach,BWV806_02_Allemande_reviewed,0.6990291262135923,0.2524271844660194,0.04854368932038835
Bach,BWV806_03_Courante_I_reviewed,0.6153846153846154,0.24358974358974358,0.14102564102564102
Bach,BWV806_04_Courante_II_reviewed,0.55,0.35,0.1
Bach,BWV806_05_Double_I_reviewed,0.5176470588235295,0.3411764705882353,0.1411764705882353
Bach,BWV806_06_Double_II_reviewed,0.6463414634146342,0.21951219512195122,0.13414634146341464
Bach,BWV806_07_Sarabande_reviewed,0.6792452830188679,0.20754716981132076,0.11320754716981132
Bach,BWV806_08_Bouree_I_reviewed,0.5739130434782609,0.2,0.22608695652173913
Bach,BWV806_09_Bouree_II_reviewed,0.3978494623655914,0.3548387096774194,0.24731182795698925
Bach,BWV806_10_Gigue_reviewed,0.7211538461538461,0.16346153846153846,0.11538461538461539
Bach,BWV807_01_Prelude_reviewed,0.5009746588693957,0.34307992202729043,0.15594541910331383
Bach,BWV807_02_Allemande_reviewed,0.5769230769230769,0.27884615384615385,0.14423076923076922
Bach,BWV807_03_Courante_reviewed,0.5476190476190477,0.2857142857142857,0.16666666666666666
Bach,BWV807_04a_Agrements_de_la_Sarabande_reviewed,0.46296296296296297,0.3333333333333333,0.2037037037037037
Bach,BWV807_04_Sarabande_reviewed,0.33962264150943394,0.4339622641509434,0.22641509433962265
Bach,BWV807_05_Bourree_I_reviewed,0.6428571428571429,0.17346938775510204,0.1836734693877551
Bach,BWV807_06_Bourree_II_reviewed,0.6122448979591837,0.1836734693877551,0.20408163265306123
Bach,BWV807_07_Gigue_reviewed,0.7094017094017094,0.1623931623931624,0.1282051282051282
Bach,BWV808_01_Prelude_reviewed,0.6313868613138686,0.25547445255474455,0.11313868613138686
Bach,BWV808_02_Allemande_reviewed,0.6336633663366337,0.24752475247524752,0.1188118811881188
Bach,BWV808_03_Courante_reviewed,0.6410256410256411,0.20512820512820512,0.15384615384615385
Bach,BWV808_04a_Agrements_de_la_Sarabande_reviewed,0.5517241379310345,0.27586206896551724,0.1724137931034483
Bach,BWV808_04_Sarabande_reviewed,0.5517241379310345,0.27586206896551724,0.1724137931034483
Bach,BWV808_05_Gavotte_I_reviewed,0.425,0.425,0.15
Bach,BWV808_06_Gavotte_II_reviewed,0.1875,0.625,0.1875
Bach,BWV808_07_Gigue_reviewed,0.38461538461538464,0.4725274725274725,0.14285714285714285
Bach,BWV809_01_Prelude_reviewed,0.616822429906542,0.2803738317757009,0.102803738317757
Bach,BWV809_02_Allemande_reviewed,0.6794871794871795,0.28205128205128205,0.038461538461538464
Bach,BWV809_03_Courante_reviewed,0.62,0.24,0.14
Bach,BWV809_04_Sarabande_reviewed,0.627906976744186,0.2558139534883721,0.11627906976744186
Bach,BWV809_05_Menuett_I_reviewed,0.5254237288135594,0.3050847457627119,0.1694915254237288
Bach,BWV809_06_Menuett_II_reviewed,0.6779661016949152,0.2033898305084746,0.11864406779661017
Bach,BWV809_07_Gigue_reviewed,0.5985401459854015,0.2116788321167883,0.1897810218978102
