mc,mc_onset,timesig,label,special,root,mc_onset_numeric,timesig_numeric,root_diff,progression_type_simple,annotation_dur,prog_weight,bigram_prog_weight,3-gram_progs,3-gram_weight
229,1/2,3/4,@none,,,0.5,0.75,,,0.375,0.5625,0.9375,,1.5
230,0,3/4,viio7,,4.0,0.0,0.75,,,0.9375,1.3125,1.875,,2.25
231,1/4,3/4,i,,-1.0,0.25,0.75,-5.0,A,0.1875,1.125,2.4375,,3.0
231,1/2,3/4,viio7/V,,5.0,0.5,0.75,6.0,S,0.375,0.5625,1.6875,,3.0
232,0,3/4,V(b64),,0.0,0.0,0.75,-5.0,A,0.375,0.75,1.3125,"(-5, 6, -5)",2.4375
232,1/2,3/4,V7,,0.0,0.5,0.75,0.0,I,0.375,0.75,1.5,"(6, -5, 0)",2.0625
233,0,3/4,I\\,,-1.0,0.0,0.75,-1.0,S,0.1875,0.5625,1.3125,"(-5, 0, -1)",2.0625
233,1/4,3/4,I,,-1.0,0.25,0.75,0.0,I,1.3125,1.5,2.0625,"(0, -1, 0)",2.8125
235,0,3/4,V43,,0.0,0.0,0.75,1.0,W,1.5,2.8125,4.3125,"(-1, 0, 1)",4.875
237,0,3/4,#viio6/ii,,6.0,0.0,0.75,6.0,S,0.75,2.25,5.0625,"(0, 1, 6)",6.5625
238,0,3/4,#viio65/ii,,6.0,0.0,0.75,0.0,I,0.75,1.5,3.75,"(1, 6, 0)",6.5625
239,0,3/4,ii6,,1.0,0.0,0.75,-5.0,A,2.25,3.0,4.5,"(6, 0, -5)",6.75
242,0,3/4,ii,,1.0,0.0,0.75,0.0,I,0.75,3.0,6.0,"(0, -5, 0)",7.5
243,0,3/4,V,,0.0,0.0,0.75,-1.0,S,0.75,1.5,4.5,"(-5, 0, -1)",7.5
244,0,3/4,V7,,0.0,0.0,0.75,0.0,I,0.75,1.5,3.0,"(0, -1, 0)",6.0
245,0,3/4,I\\,,-1.0,0.0,0.75,-1.0,S,0.46875,1.21875,2.71875,"(-1, 0, -1)",4.21875
245,5/8,3/4,V64,,0.0,0.625,0.75,1.0,W,0.375,0.84375,2.0625,"(0, -1, 1)",3.5625
246,1/8,3/4,V65,,0.0,0.125,0.75,0.0,I,0.1875,0.5625,1.40625,"(-1, 1, 0)",2.625
246,3/8,3/4,I,,-1.0,0.375,0.75,-1.0,S,0.1875,0.375,0.9375,"(1, 0, -1)",1.78125
246,5/8,3/4,IV,,-2.0,0.625,0.75,-1.0,S,0.375,0.5625,0.9375,"(0, -1, -1)",1.5
247,1/8,3/4,I6,,-1.0,0.125,0.75,1.0,W,0.375,0.75,1.3125,"(-1, -1, 1)",1.6875
247,5/8,3/4,viio6,,4.0,0.625,0.75,5.0,A,0.375,0.75,1.5,"(-1, 1, 5)",2.0625
248,1/8,3/4,viio,,4.0,0.125,0.75,0.0,I,1.40625,1.78125,2.53125,"(1, 5, 0)",3.28125
250,0,3/4,I,,-1.0,0.0,0.75,-5.0,A,0.75,2.15625,3.9375,"(5, 0, -5)",4.6875
251,0,3/4,IV,,-2.0,0.0,0.75,-1.0,S,0.9375,1.6875,3.84375,"(0, -5, -1)",5.625
252,1/4,3/4,V(64),,0.0,0.25,0.75,2.0,A,0.1875,1.125,2.8125,"(-5, -1, 2)",4.96875
