mc,mc_onset,timesig,label,special,root,mc_onset_numeric,timesig_numeric,root_diff,progression_type_simple,annotation_dur,prog_weight,bigram_prog_weight,3-gram_progs,3-gram_weight
60,0,3/4,viio(64),,5.0,0.0,0.75,5.0,A,0.1875,0.5625,1.125,"(5, -5, 5)",1.5
60,1/4,3/4,viio,,5.0,0.25,0.75,0.0,I,0.1875,0.375,0.9375,"(-5, 5, 0)",1.5
60,1/2,3/4,@none,,,0.5,0.75,,,0.375,0.5625,0.9375,,1.5
61,0,3/4,viio,,5.0,0.0,0.75,,,0.75,1.125,1.6875,,2.0625
62,0,3/4,V65/vi,,4.0,0.0,0.75,-1.0,S,0.375,1.125,2.25,,2.8125
62,1/2,3/4,viio64/vi,,1.0,0.5,0.75,-3.0,W,0.375,0.75,1.875,,3.0
63,0,3/4,vi6,,3.0,0.0,0.75,2.0,A,0.1875,0.5625,1.3125,"(-1, -3, 2)",2.4375
63,1/4,3/4,vi,,3.0,0.25,0.75,0.0,I,0.1875,0.375,0.9375,"(-3, 2, 0)",1.6875
63,1/2,3/4,V7/V,,2.0,0.5,0.75,-1.0,S,0.375,0.5625,0.9375,"(2, 0, -1)",1.5
64,0,3/4,V(94),,1.0,0.0,0.75,-1.0,S,0.1875,0.5625,1.125,"(0, -1, -1)",1.5
64,1/4,3/4,V\\,,1.0,0.25,0.75,0.0,I,0.09375,0.28125,0.84375,"(-1, -1, 0)",1.40625
64,3/8,3/4,@none,,,0.375,0.75,,,0.46875,0.5625,0.84375,,1.40625
65,0,3/4,ii,,2.0,0.0,0.75,,,0.75,1.21875,1.78125,,2.0625
66,0,3/4,V,,1.0,0.0,0.75,-1.0,S,0.375,1.125,2.34375,,2.90625
66,1/2,3/4,V65,,1.0,0.5,0.75,0.0,I,0.375,0.75,1.875,,3.09375
67,0,3/4,I,,0.0,0.0,0.75,-1.0,S,0.1875,0.5625,1.3125,"(-1, 0, -1)",2.4375
67,1/4,3/4,V43,,1.0,0.25,0.75,1.0,W,0.1875,0.375,0.9375,"(0, -1, 1)",1.6875
67,1/2,3/4,I6,,0.0,0.5,0.75,-1.0,S,0.375,0.5625,0.9375,"(-1, 1, -1)",1.5
68,0,3/4,viio43(2),,5.0,0.0,0.75,5.0,A,0.1875,0.5625,1.125,"(1, -1, 5)",1.5
68,1/4,3/4,viio43\\,,5.0,0.25,0.75,0.0,I,0.1875,0.375,0.9375,"(-1, 5, 0)",1.5
68,1/2,3/4,@none,,,0.5,0.75,,,0.375,0.5625,0.9375,,1.5
69,0,3/4,viio7,,5.0,0.0,0.75,,,0.9375,1.3125,1.875,,2.25
70,1/4,3/4,i,,0.0,0.25,0.75,-5.0,A,0.1875,1.125,2.4375,,3.0
70,1/2,3/4,viio7/V,,6.0,0.5,0.75,6.0,S,0.375,0.5625,1.6875,,3.0
71,0,3/4,V(b64),,1.0,0.0,0.75,-5.0,A,0.375,0.75,1.3125,"(-5, 6, -5)",2.4375
71,1/2,3/4,V7,,1.0,0.5,0.75,0.0,I,0.375,0.75,1.5,"(6, -5, 0)",2.0625
72,0,3/4,I\\,,0.0,0.0,0.75,-1.0,S,0.75,1.125,1.875,"(-5, 0, -1)",2.625
73,0,3/4,I,,0.0,0.0,0.75,0.0,I,0.75,1.5,2.625,"(0, -1, 0)",3.375
74,0,3/4,V43,,1.0,0.0,0.75,1.0,W,1.5,2.25,3.75,"(-1, 0, 1)",4.875
76,0,3/4,#viio65/ii,,7.0,0.0,0.75,6.0,S,0.75,2.25,4.5,"(0, 1, 6)",6.0
77,0,3/4,viio,,5.0,0.0,0.75,-2.0,A,0.75,1.5,3.75,"(1, 6, -2)",6.0
78,0,3/4,ii6,,2.0,0.0,0.75,-3.0,W,3.0,3.75,5.25,"(6, -2, -3)",7.5
82,0,3/4,V,,1.0,0.0,0.75,-1.0,S,0.75,3.75,7.5,"(-2, -3, -1)",9.0
83,0,3/4,V7,,1.0,0.0,0.75,0.0,I,0.75,1.5,5.25,"(-3, -1, 0)",9.0
84,0,3/4,I\\,,0.0,0.0,0.75,-1.0,S,0.1875,0.9375,2.4375,"(-1, 0, -1)",6.1875
84,1/4,3/4,I6,,0.0,0.25,0.75,0.0,I,0.28125,0.46875,1.40625,"(0, -1, 0)",2.90625
84,5/8,3/4,V64,,1.0,0.625,0.75,1.0,W,0.375,0.65625,1.125,"(-1, 0, 1)",2.0625
85,1/8,3/4,viio,,5.0,0.125,0.75,4.0,W,0.1875,0.5625,1.21875,"(0, 1, 4)",1.6875
85,3/8,3/4,I,,0.0,0.375,0.75,-5.0,A,0.1875,0.375,0.9375,"(1, 4, -5)",1.59375
85,5/8,3/4,IV,,-1.0,0.625,0.75,-1.0,S,0.375,0.5625,0.9375,"(4, -5, -1)",1.5
86,1/8,3/4,I6,,0.0,0.125,0.75,1.0,W,0.375,0.75,1.3125,"(-5, -1, 1)",1.6875
86,5/8,3/4,viio6,,5.0,0.625,0.75,5.0,A,0.375,0.75,1.5,"(-1, 1, 5)",2.0625
87,1/8,3/4,viio,,5.0,0.125,0.75,0.0,I,1.40625,1.78125,2.53125,"(1, 5, 0)",3.28125
89,0,3/4,I,,0.0,0.0,0.75,-5.0,A,0.75,2.15625,3.9375,"(5, 0, -5)",4.6875
90,0,3/4,V65/V,,2.0,0.0,0.75,2.0,A,0.9375,1.6875,3.84375,"(0, -5, 2)",5.625
91,1/4,3/4,V(64),,1.0,0.25,0.75,-1.0,S,0.1875,1.125,2.8125,"(-5, 2, -1)",4.96875
91,1/2,3/4,V7,,1.0,0.5,0.75,0.0,I,0.375,0.5625,1.6875,"(2, -1, 0)",3.375
92,0,3/4,I\\,,0.0,0.0,0.75,-1.0,S,0.1875,0.5625,1.125,"(-1, 0, -1)",2.25
92,1/4,3/4,I6,,0.0,0.25,0.75,0.0,I,0.28125,0.46875,1.03125,"(0, -1, 0)",1.59375
92,5/8,3/4,viio6,,5.0,0.625,0.75,5.0,A,0.375,0.65625,1.125,"(-1, 0, 5)",1.6875
93,1/8,3/4,viio,,5.0,0.125,0.75,0.0,I,0.1875,0.5625,1.21875,"(0, 5, 0)",1.6875
93,3/8,3/4,I,,0.0,0.375,0.75,-5.0,A,0.1875,0.375,0.9375,"(5, 0, -5)",1.59375
93,5/8,3/4,IV,,-1.0,0.625,0.75,-1.0,S,0.375,0.5625,0.9375,"(0, -5, -1)",1.5
94,1/8,3/4,I6,,0.0,0.125,0.75,1.0,W,0.375,0.75,1.3125,"(-5, -1, 1)",1.6875
94,5/8,3/4,viio6,,5.0,0.625,0.75,5.0,A,0.375,0.75,1.5,"(-1, 1, 5)",2.0625
95,1/8,3/4,viio,,5.0,0.125,0.75,0.0,I,1.40625,1.78125,2.53125,"(1, 5, 0)",3.28125
97,0,3/4,i,,0.0,0.0,0.75,-5.0,A,0.75,2.15625,3.9375,"(5, 0, -5)",4.6875
98,0,3/4,bVI,,-4.0,0.0,0.75,-4.0,S,0.75,1.5,3.65625,"(0, -5, -4)",5.4375
99,0,3/4,viio7/V,,6.0,0.0,0.75,10.0,S,0.375,1.125,2.625,"(-5, -4, 10)",4.78125
99,1/2,3/4,Ger6/vi,Ger,9.0,0.5,0.75,3.0,S,0.375,0.75,1.875,"(-4, 10, 3)",3.375
100,0,3/4,vi64,,3.0,0.0,0.75,-6.0,W,0.1875,0.5625,1.3125,"(10, 3, -6)",2.4375
100,1/4,3/4,ii,,2.0,0.25,0.75,-1.0,S,0.1875,0.375,0.9375,"(3, -6, -1)",1.6875
100,1/2,3/4,V7,,1.0,0.5,0.75,-1.0,S,0.375,0.5625,0.9375,"(-6, -1, -1)",1.5
101,0,3/4,I[I64,,0.0,0.0,0.75,-1.0,S,1.5,1.875,2.4375,"(-1, -1, -1)",2.8125
103,0,3/4,V7,,1.0,0.0,0.75,1.0,W,1.5,3.0,4.875,"(-1, -1, 1)",5.4375
105,0,3/4,I64,,0.0,0.0,0.75,-1.0,S,1.5,3.0,6.0,"(-1, 1, -1)",7.875
107,0,3/4,V7,,1.0,0.0,0.75,1.0,W,1.5,3.0,6.0,"(1, -1, 1)",9.0
109,0,3/4,I64,,0.0,0.0,0.75,-1.0,S,0.1875,1.6875,4.6875,"(-1, 1, -1)",7.6875
109,1/4,3/4,I],,0.0,0.25,0.75,0.0,I,0.5625,0.75,2.4375,"(1, -1, 0)",5.4375
110,0,3/4,I,,0.0,0.0,0.75,0.0,I,3.0,3.5625,4.3125,"(-1, 0, 0)",6.0
114,0,3/4,I\\,,0.0,0.0,0.75,0.0,I,0.75,3.75,7.3125,"(0, 0, 0)",8.0625
115,0,3/4,III.I,,3.0,0.0,0.75,3.0,S,3.0,3.75,7.5,"(0, 0, 3)",11.0625
119,0,3/4,IV.I,,-2.0,0.0,0.75,-5.0,A,0.75,3.75,7.5,"(0, 3, -5)",11.25
120,0,3/4,I64,,-2.0,0.0,0.75,0.0,I,0.75,1.5,5.25,"(3, -5, 0)",9.0
121,0,3/4,IV64,,-3.0,0.0,0.75,-1.0,S,0.75,1.5,3.0,"(-5, 0, -1)",6.75
122,0,3/4,IV6,,-3.0,0.0,0.75,0.0,I,1.5,2.25,3.75,"(0, -1, 0)",5.25
124,0,3/4,viio,,3.0,0.0,0.75,6.0,S,1.5,3.0,5.25,"(-1, 0, 6)",6.75
126,0,3/4,I,,-2.0,0.0,0.75,-5.0,A,0.75,2.25,5.25,"(0, 6, -5)",7.5
127,0,3/4,vi.#viio,,7.0,0.0,0.75,9.0,A,1.5,2.25,4.5,"(6, -5, 9)",7.5
129,0,3/4,#viio7,,7.0,0.0,0.75,0.0,I,1.5,3.0,5.25,"(-5, 9, 0)",7.5
131,0,3/4,#viio65,,7.0,0.0,0.75,0.0,I,0.1875,1.6875,4.6875,"(9, 0, 0)",6.9375
131,1/4,3/4,#viio7,,7.0,0.25,0.75,0.0,I,0.1875,0.375,2.0625,"(0, 0, 0)",5.0625
131,1/2,3/4,i,,2.0,0.5,0.75,-5.0,A,0.375,0.5625,0.9375,"(0, 0, -5)",2.625
132,0,3/4,#viio65,,7.0,0.0,0.75,5.0,A,0.375,0.75,1.3125,"(0, -5, 5)",1.6875
132,1/2,3/4,i6,,2.0,0.5,0.75,-5.0,A,0.375,0.75,1.5,"(-5, 5, -5)",2.0625
133,0,3/4,#viio43,,7.0,0.0,0.75,5.0,A,0.46875,0.84375,1.59375,"(5, -5, 5)",2.34375
133,5/8,3/4,i6,,2.0,0.625,0.75,-5.0,A,0.28125,0.75,1.59375,"(-5, 5, -5)",2.34375
134,0,3/4,#viio43,,7.0,0.0,0.75,5.0,A,0.46875,0.75,1.5,"(5, -5, 5)",2.34375
134,5/8,3/4,i6,,2.0,0.625,0.75,-5.0,A,0.28125,0.75,1.5,"(-5, 5, -5)",2.25
135,0,3/4,@none,,,0.0,0.75,,,0.75,1.03125,1.78125,,2.53125
136,0,3/4,ii.#viio2,,6.0,0.0,0.75,,,0.1875,0.9375,1.96875,,2.71875
136,1/4,3/4,@none,,,0.25,0.75,,,0.5625,0.75,1.6875,,2.71875
137,0,3/4,#viio7,,6.0,0.0,0.75,,,0.1875,0.75,1.5,,2.4375
137,1/4,3/4,VI6,,-3.0,0.25,0.75,-9.0,A,0.1875,0.375,1.125,,1.875
137,1/2,3/4,V65/ii,,4.0,0.5,0.75,7.0,I,0.375,0.5625,0.9375,,1.6875
138,0,3/4,#viio65,,6.0,0.0,0.75,2.0,A,0.375,0.75,1.3125,"(-9, 7, 2)",1.6875
138,1/2,3/4,i6,,1.0,0.5,0.75,-5.0,A,0.375,0.75,1.5,"(7, 2, -5)",2.0625
139,0,3/4,#viio43,,6.0,0.0,0.75,5.0,A,0.46875,0.84375,1.59375,"(2, -5, 5)",2.34375
139,5/8,3/4,i6,,1.0,0.625,0.75,-5.0,A,0.28125,0.75,1.59375,"(-5, 5, -5)",2.34375
140,0,3/4,#viio43,,6.0,0.0,0.75,5.0,A,0.46875,0.75,1.5,"(5, -5, 5)",2.34375
140,5/8,3/4,i6,,1.0,0.625,0.75,-5.0,A,0.28125,0.75,1.5,"(-5, 5, -5)",2.25
141,0,3/4,@none,,,0.0,0.75,,,0.75,1.03125,1.78125,,2.53125
142,0,3/4,v.#viio2,,5.0,0.0,0.75,,,0.1875,0.9375,1.96875,,2.71875
142,1/4,3/4,@none,,,0.25,0.75,,,0.1875,0.375,1.3125,,2.34375
142,1/2,3/4,V2/ii,,3.0,0.5,0.75,,,0.375,0.5625,0.9375,,1.875
143,0,3/4,#viio7,,5.0,0.0,0.75,2.0,A,0.1875,0.5625,1.125,,1.5
143,1/4,3/4,VI6,,-4.0,0.25,0.75,-9.0,A,0.1875,0.375,0.9375,,1.5
143,1/2,3/4,#viio/ii,,7.0,0.5,0.75,11.0,!,0.375,0.5625,0.9375,"(2, -9, 11)",1.5
144,0,3/4,V43,,1.0,0.0,0.75,-6.0,W,0.1875,0.5625,1.125,"(-9, 11, -6)",1.5
144,1/4,3/4,iio6,,2.0,0.25,0.75,1.0,W,0.1875,0.375,0.9375,"(11, -6, 1)",1.5
144,1/2,3/4,VIM43,,-4.0,0.5,0.75,-6.0,W,0.375,0.5625,0.9375,"(-6, 1, -6)",1.5
145,0,3/4,#viio65,,5.0,0.0,0.75,9.0,A,0.46875,0.84375,1.40625,"(1, -6, 9)",1.78125
145,5/8,3/4,i6,,0.0,0.625,0.75,-5.0,A,0.28125,0.75,1.59375,"(-6, 9, -5)",2.15625
146,0,3/4,#viio65,,5.0,0.0,0.75,5.0,A,0.46875,0.75,1.5,"(9, -5, 5)",2.34375
146,5/8,3/4,i6,,0.0,0.625,0.75,-5.0,A,0.28125,0.75,1.5,"(-5, 5, -5)",2.25
147,0,3/4,i.#viio43,,4.0,0.0,0.75,4.0,W,0.46875,0.75,1.5,"(5, -5, 4)",2.25
147,5/8,3/4,i6,,-1.0,0.625,0.75,-5.0,A,0.28125,0.75,1.5,"(-5, 4, -5)",2.25
148,0,3/4,#viio43,,4.0,0.0,0.75,5.0,A,0.46875,0.75,1.5,"(4, -5, 5)",2.25
148,5/8,3/4,i6,,-1.0,0.625,0.75,-5.0,A,0.28125,0.75,1.5,"(-5, 5, -5)",2.25
149,0,3/4,iv.viio43,,-4.0,0.0,0.75,-3.0,W,0.46875,0.75,1.5,"(5, -5, -3)",2.25
149,5/8,3/4,i6,,-2.0,0.625,0.75,2.0,A,0.28125,0.75,1.5,"(-5, -3, 2)",2.25
150,0,3/4,viio43,,-4.0,0.0,0.75,-2.0,A,0.46875,0.75,1.5,"(-3, 2, -2)",2.25
150,5/8,3/4,i6,,-2.0,0.625,0.75,2.0,A,0.28125,0.75,1.5,"(2, -2, 2)",2.25
151,0,3/4,i,,-2.0,0.0,0.75,0.0,I,3.0,3.28125,4.03125,"(-2, 2, 0)",4.78125
155,0,3/4,VI,,-6.0,0.0,0.75,-4.0,S,0.75,3.75,7.03125,"(2, 0, -4)",7.78125
156,0,3/4,i6,,-2.0,0.0,0.75,4.0,W,0.75,1.5,5.25,"(0, -4, 4)",8.53125
157,0,3/4,i,,-2.0,0.0,0.75,0.0,I,0.75,1.5,3.0,"(-4, 4, 0)",6.75
158,0,3/4,VI,,-6.0,0.0,0.75,-4.0,S,0.1875,0.9375,2.4375,"(4, 0, -4)",3.9375
158,1/4,3/4,i64,,-2.0,0.25,0.75,4.0,W,0.1875,0.375,1.3125,"(0, -4, 4)",2.8125
158,1/2,3/4,V65/V,,0.0,0.5,0.75,2.0,A,0.375,0.5625,0.9375,"(-4, 4, 2)",1.875
159,0,3/4,i.i,,-1.0,0.0,0.75,-1.0,S,0.75,1.125,1.6875,"(4, 2, -1)",2.0625
160,0,3/4,i6,,-1.0,0.0,0.75,0.0,I,2.25,3.0,4.125,"(2, -1, 0)",4.6875
163,0,3/4,VI,,-5.0,0.0,0.75,-4.0,S,0.75,3.0,6.0,"(-1, 0, -4)",7.125
164,0,3/4,i6,,-1.0,0.0,0.75,4.0,W,0.75,1.5,4.5,"(0, -4, 4)",7.5
165,0,3/4,i,,-1.0,0.0,0.75,0.0,I,0.375,1.125,2.625,"(-4, 4, 0)",5.625
165,1/2,3/4,VI,,-5.0,0.5,0.75,-4.0,S,0.5625,0.9375,2.0625,"(4, 0, -4)",3.5625
166,1/4,3/4,i64,,-1.0,0.25,0.75,4.0,W,0.1875,0.75,1.6875,"(0, -4, 4)",2.8125
166,1/2,3/4,viio7/V,,5.0,0.5,0.75,6.0,S,0.375,0.5625,1.3125,"(-4, 4, 6)",2.25
167,0,3/4,I.V,,0.0,0.0,0.75,-5.0,A,0.75,1.125,1.6875,"(4, 6, -5)",2.4375
168,0,3/4,V6,,0.0,0.0,0.75,0.0,I,0.75,1.5,2.625,"(6, -5, 0)",3.1875
169,0,3/4,V64,,0.0,0.0,0.75,0.0,I,0.75,1.5,3.0,"(-5, 0, 0)",4.125
170,0,3/4,V,,0.0,0.0,0.75,0.0,I,0.75,1.5,3.0,"(0, 0, 0)",4.5
171,0,3/4,V7,,0.0,0.0,0.75,0.0,I,0.75,1.5,3.0,"(0, 0, 0)",4.5
172,0,3/4,V,,0.0,0.0,0.75,0.0,I,0.9375,1.6875,3.1875,"(0, 0, 0)",4.6875
173,1/4,3/4,V7,,0.0,0.25,0.75,0.0,I,2.0625,3.0,4.6875,"(0, 0, 0)",6.1875
176,0,3/4,V,,0.0,0.0,0.75,0.0,I,0.375,2.4375,5.4375,"(0, 0, 0)",7.125
176,1/2,3/4,V7,,0.0,0.5,0.75,0.0,I,1.125,1.5,3.9375,"(0, 0, 0)",6.9375
178,0,3/4,V,,0.0,0.0,0.75,0.0,I,0.75,1.875,3.375,"(0, 0, 0)",5.8125
179,0,3/4,I,,-1.0,0.0,0.75,-1.0,S,0.75,1.5,3.375,"(0, 0, -1)",4.875
180,0,3/4,V,,0.0,0.0,0.75,1.0,W,0.75,1.5,3.0,"(0, -1, 1)",4.875
181,0,3/4,I,,-1.0,0.0,0.75,-1.0,S,0.75,1.5,3.0,"(-1, 1, -1)",4.5
182,0,3/4,IV6,,-2.0,0.0,0.75,-1.0,S,1.5,2.25,3.75,"(1, -1, -1)",5.25
184,0,3/4,V65,,0.0,0.0,0.75,2.0,A,0.75,2.25,4.5,"(-1, -1, 2)",6.0
185,0,3/4,I,,-1.0,0.0,0.75,-1.0,S,0.1875,0.9375,3.1875,"(-1, 2, -1)",5.4375
185,1/4,3/4,vi,,2.0,0.25,0.75,3.0,S,0.1875,0.375,1.3125,"(2, -1, 3)",3.5625
185,1/2,3/4,ii6,,1.0,0.5,0.75,-1.0,S,0.375,0.5625,0.9375,"(-1, 3, -1)",1.875
186,0,3/4,V(64),,0.0,0.0,0.75,-1.0,S,0.375,0.75,1.3125,"(3, -1, -1)",1.6875
186,1/2,3/4,V\\,,0.0,0.5,0.75,0.0,I,0.375,0.75,1.5,"(-1, -1, 0)",2.0625
187,0,3/4,@none,,,0.0,0.75,,,0.75,1.125,1.875,,2.625
188,0,3/4,I6,,-1.0,0.0,0.75,,,0.75,1.5,2.625,,3.375
189,0,3/4,bVI.vi,,-2.0,0.0,0.75,-1.0,S,0.1875,0.9375,2.4375,,3.5625
189,1/4,3/4,IV,,-6.0,0.25,0.75,-4.0,S,0.1875,0.375,1.3125,,2.8125
189,1/2,3/4,ii,,-3.0,0.5,0.75,3.0,S,0.375,0.5625,0.9375,"(-1, -4, 3)",1.875
190,0,3/4,V(64),,-4.0,0.0,0.75,-1.0,S,0.375,0.75,1.3125,"(-4, 3, -1)",1.6875
190,1/2,3/4,V,,-4.0,0.5,0.75,0.0,I,0.375,0.75,1.5,"(3, -1, 0)",2.0625
191,0,3/4,I\\,,-5.0,0.0,0.75,-1.0,S,0.1875,0.5625,1.3125,"(-1, 0, -1)",2.0625
191,1/4,3/4,vi,,-2.0,0.25,0.75,3.0,S,0.1875,0.375,0.9375,"(0, -1, 3)",1.6875
191,1/2,3/4,ii6,,-3.0,0.5,0.75,-1.0,S,0.375,0.5625,0.9375,"(-1, 3, -1)",1.5
192,0,3/4,V(64),,-4.0,0.0,0.75,-1.0,S,0.375,0.75,1.3125,"(3, -1, -1)",1.6875
192,1/2,3/4,V,,-4.0,0.5,0.75,0.0,I,0.375,0.75,1.5,"(-1, -1, 0)",2.0625
193,0,3/4,vi,,-2.0,0.0,0.75,2.0,A,0.1875,0.5625,1.3125,"(-1, 0, 2)",2.0625
193,1/4,3/4,IV,,-6.0,0.25,0.75,-4.0,S,0.1875,0.375,0.9375,"(0, 2, -4)",1.6875
193,1/2,3/4,ii,,-3.0,0.5,0.75,3.0,S,0.375,0.5625,0.9375,"(2, -4, 3)",1.5
194,0,3/4,V(64)/vi,,-1.0,0.0,0.75,2.0,A,0.375,0.75,1.3125,"(-4, 3, 2)",1.6875
194,1/2,3/4,V/vi,,-1.0,0.5,0.75,0.0,I,0.375,0.75,1.5,"(3, 2, 0)",2.0625
195,0,3/4,vi,,-2.0,0.0,0.75,-1.0,S,0.1875,0.5625,1.3125,"(2, 0, -1)",2.0625
195,1/4,3/4,IV,,-6.0,0.25,0.75,-4.0,S,0.1875,0.375,0.9375,"(0, -1, -4)",1.6875
195,1/2,3/4,ii,,-3.0,0.5,0.75,3.0,S,0.375,0.5625,0.9375,"(-1, -4, 3)",1.5
196,0,3/4,I6,,-5.0,0.0,0.75,-2.0,A,0.75,1.125,1.6875,"(-4, 3, -2)",2.0625
197,0,3/4,V7/IV,,-5.0,0.0,0.75,0.0,I,0.75,1.5,2.625,"(3, -2, 0)",3.1875
198,0,3/4,bII.I,,-6.0,0.0,0.75,-1.0,S,0.75,1.5,3.0,"(-2, 0, -1)",4.125
199,0,3/4,I,,-6.0,0.0,0.75,0.0,I,0.75,1.5,3.0,"(0, -1, 0)",4.5
