mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
76	76	3/4	3/4	4/4	2	1	iii6	0	-4.5	/	F	I	V	iii6	iii		6					m	0	0	0, 4, 3		3	0	0	4	0.0	0.0	0.375	0.0
76	76	7/8	7/8	4/4	2	1	vi6]	0	-4.5	/	F	I	V	vi6	vi		6					m	0	0	-1, 3, 2		2	-1	1	3	0.25	0.0625	0.3125	0.16666666666666666
77	77	0	0	4/4	2	1	IV6	-0.312939	-6.0988	/	F	I		IV6	IV		6					M	0	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.375	0.0
77	77	1/8	1/8	4/4	2	1	viio6	-0.938818	-6.0988	/	F	I		viio6	vii	o	6					o	0	0	1, -2, 4		4	1	1	3	0.25	0.0625	0.3125	0.16666666666666666
77	77	1/4	1/4	4/4	2	1	V6	0.15647	-5.62939	/	F	I		V6	V		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.375	0.0
77	77	3/8	3/8	4/4	2	1	I6	0.0594467	-6.17442	/	F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	1	3	0.25	0.0625	0.3125	0.16666666666666666
77	77	1/2	1/2	4/4	2	1	vi6	0	-6.88115	/	F	I		vi6	vi		6					m	0	0	-1, 3, 2		2	-1	0	4	0.0	0.0	0.375	0.0
77	77	5/8	5/8	4/4	2	1	ii6	-0.15647	-6.72468	/	F	I		ii6	ii		6					m	0	0	-2, 2, 1		1	-2	1	3	0.25	0.0625	0.3125	0.16666666666666666
77	77	3/4	3/4	4/4	2	1	viio6	-0.469409	-6.88115	/	F	I		viio6	vii	o	6					o	0	0	1, -2, 4		4	1	0	4	0.0	0.0	0.375	0.0
77	77	7/8	7/8	4/4	2	1	iii6	-0.15647	-6.0988	/	F	I		iii6	iii		6					m	0	0	0, 4, 3		3	0	1	3	0.25	0.0625	0.3125	0.16666666666666666
78	78	0	0	4/4	2	1	IV(+6)	-0.625879	-5.15998	/	F	I		IV(+6)	IV			+6				M	0	0	-2, 2, -1	1	-2	-2	5	15	0.25	0.3125	4.6875	0.0625
79	79	0	0	4/4	2	1	V43(+2)	-0.312939	-5.31645	/	F	I		V43(+2)	V		43	+2				Mm7	0	0	1, -2, 0, 4	2	0	1	3	17	0.15	0.1875	4.8125	0.0375
80	80	0	0	4/4	2	1	V7(+2)	0	-5.15998	/	F	I		V7(+2)	V		7	+2				Mm7	0	0	0, 4, 1, -2	2	0	0	2	18	0.1	0.125	4.875	0.025
81	81	0	0	4/4	2	1	I|IAC}{	-1.63397	-5.33354	/	F	I		I	I					IAC	}{	M	0	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	0.75	0.0
81	81	1/4	1/4	4/4	2	1	vii%65/IV				F	I		vii%65/IV	vii	%	65		IV			%7	0	0	0, -3, 1, 3		3	0	2	9	0.18181818181818182	0.125	2.625	0.045454545454545456
81	81	3/4	3/4	4/4	2	1	V43(+6)/IV	0	-5.28457	/	F	I		V43(+6)/IV	V		43	+6	IV			Mm7	0	0	0, -3, -1, 3	2	-1	0	0	10	0.0	0.0	1.0	0.0
82	82	0	0	4/4	2	1	V43/IV				F	I		V43/IV	V		43		IV			Mm7	0	0	0, -3, -1, 3		-1	0	1	8	0.1111111111111111	0.125	2.375	0.05
82	82	1/2	1/2	4/4	2	1	V7	0.15647	-5.00352	/	F	I		V7	V		7					Mm7	0	0	0, 4, 1, -2		0	0	1	7	0.125	0.0625	1.9375	0.03125
82	82	3/4	3/4	4/4	2	1	V7(+2)	-0.782349	-7.50703	/	F	I		V7(+2)	V		7	+2				Mm7	0	0	0, 4, 1, -2	2	0	0	1	4	0.2	0.0625	0.4375	0.125
83	83	0	0	4/4	2	1	I	0	-6.25527	/	F	I		I	I							M	0	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	0.75	0.0
83	83	1/4	1/4	4/4	2	1	vii%65/IV				F	I		vii%65/IV	vii	%	65		IV			%7	0	0	0, -3, 1, 3		3	0	2	9	0.18181818181818182	0.125	2.625	0.045454545454545456
83	83	3/4	3/4	4/4	2	1	V43(+6)/IV				F	I		V43(+6)/IV	V		43	+6	IV			Mm7	0	0	0, -3, -1, 3	2	-1	0	0	10	0.0	0.0	1.0	0.0
84	84	0	0	4/4	2	1	V43/IV				F	I		V43/IV	V		43		IV			Mm7	0	0	0, -3, -1, 3		-1	0	1	7	0.125	0.125	2.0	0.058823529411764705
84	84	1/2	1/2	4/4	2	1	V7	0.15647	-5.00352	/	F	I		V7	V		7					Mm7	0	0	0, 4, 1, -2		0	0	1	7	0.125	0.0625	1.9375	0.03125
84	84	3/4	3/4	4/4	2	1	V7(+2)	-0.782349	-7.50703	/	F	I		V7(+2)	V		7	+2				Mm7	0	0	0, 4, 1, -2	2	0	0	1	4	0.2	0.0625	0.4375	0.125
85	85	0	0	4/4	2	1	IV	0	-6.88115	/	F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	2	14	0.125	0.125	2.625	0.045454545454545456
85	85	3/4	3/4	4/4	2	1	vi64				F	I		vi64	vi		64					m	0	0	3, 2, -1		2	3	0	4	0.0	0.0	0.5	0.0
85	85	7/8	7/8	4/4	2	1	ii				F	I		ii	ii							m	0	0	1, -2, 2		1	1	10	14	0.4166666666666667	1.125	1.875	0.375
87	87	0	0	4/4	2	1	IV6(+2)	-0.469409	-3.75176	/	F	I		IV6(+2)	IV		6	+2				M	0	0	2, -1, -2	0	-2	2	0	7	0.0	0.0	4.0	0.0
87	87	1/2	1/2	4/4	2	1	I64				F	I		I64	I		64					M	0	0	0, -1, 3		-1	0	0	6	0.0	0.0	1.5	0.0
87	87	3/4	3/4	4/4	2	1	IV(+6)				F	I		IV(+6)	IV			+6				M	0	0	-2, 2, -1	1	-2	-2	1	10	0.09090909090909091	0.041666666666666664	1.25	0.03225806451612903
88	88	0	0	4/4	2	1	I|PC}	0.43951	-3.05213	/	F	I		I	I					PC	}	M	0	0	-1, 3, 0		-1	-1	0	15	0.0	0.0	3.75	0.0
