mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
27	27	3/8	3/8	12/8	2	1	V(64)					A	I		V(64)	V			64				M	0	0	4, 3, 7		4	4	1	3	0.25	0.125	0.625	0.1666666666666666
27	27	3/4	3/4	12/8	2	1	V(4)					A	I		V(4)	V			4				M	0	0	4, 3, 5		4	4	2	3	0.4	0.25	0.875	0.2222222222222222
27	27	9/8	9/8	12/8	2	1	V					A	I		V	V							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.375	0.0
27	27	5/4	5/4	12/8	2	1	I64					A	I		I64	I		64.0					M	0	0	4, 3, 7		3	4	0	3	0.0	0.0	0.375	0.0
27	27	11/8	11/8	12/8	2	1	IV					A	I		IV	IV							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.375	0.0
28	28	0	0	12/8	2	1	viio/IV					A	I		viio/IV	vii	o			IV			o	0	0	7, 4, 1		7	7	4	3	0.5714285714285714	0.5	1.0	0.3333333333333333
28	28	3/8	3/8	12/8	2	1	V7/IV					A	I		V7/IV	V		7.0		IV			Mm7	0	0	3, 7, 4, 1		3	3	1	3	0.25	0.125	0.625	0.1666666666666666
28	28	3/4	3/4	12/8	2	1	IV(9)					A	I		IV(9)	IV			9				M	0	0	2, 6, 3	4.0	2	2	1	4	0.2	0.125	1.375	0.0833333333333333
28	28	9/8	9/8	12/8	2	1	IV					A	I		IV	IV							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.5	0.0
28	28	5/4	5/4	12/8	2	1	ii					A	I		ii	ii							m	0	0	5, 2, 6		5	5	0	2	0.0	0.0	0.25	0.0
29	29	0	0	12/8	2	1	V65					A	I		V65	V		65.0					Mm7	0	0	8, 5, 2, 4		4	8	0	7	0.0	0.0	1.5	0.0
29	29	3/8	3/8	12/8	2	1	I					A	I		I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
29	29	1/2	1/2	12/8	2	1	I6					A	I		I6	I		6.0					M	0	0	7, 4, 3		3	7	0	2	0.0	0.0	0.25	0.0
29	29	3/4	3/4	12/8	2	1	IVM65					A	I		IVM65	IV	M	65.0					MM7	0	0	6, 3, 7, 2		2	6	1	4	0.2	0.125	1.0	0.1111111111111111
29	29	9/8	9/8	12/8	2	1	viio					A	I		viio	vii	o						o	0	0	8, 5, 2		8	8	1	4	0.2	0.125	1.0	0.1111111111111111
30	30	0	0	12/8	2	1	I(9)					A	I		I(9)	I			9				M	0	0	3, 7, 4	5.0	3	3	1	6	0.1428571428571428	0.125	1.375	0.0833333333333333
30	30	3/8	3/8	12/8	2	1	V7/IV					A	I		V7/IV	V		7.0		IV			Mm7	0	0	3, 7, 4, 1		3	3	1	5	0.1666666666666666	0.125	0.625	0.1666666666666666
30	30	3/4	3/4	12/8	2	1	IVM7					A	I		IVM7	IV	M	7.0					MM7	0	0	2, 6, 3, 7		2	2	0	5	0.0	0.0	1.5	0.0
30	30	9/8	9/8	12/8	2	1	V65/V					A	I		V65/V	V		65.0		V			Mm7	0	0	9, 6, 3, 5		5	9	1	3	0.25	0.125	0.625	0.1666666666666666
31	31	0	0	12/8	2	1	V|HC}{					A	I		V	V					HC	}{	M	0	0	4, 8, 5		4	4	2	5	0.2857142857142857	0.25	1.0	0.2
31	31	1/2	1/2	12/8	2	1	I6					A	I		I6	I		6.0					M	0	0	7, 4, 3		3	7	1	3	0.25	0.125	0.375	0.25
31	31	3/4	3/4	12/8	2	1	V65					A	I		V65	V		65.0					Mm7	0	0	8, 5, 2, 4		4	8	0	3	0.0	0.0	0.5	0.0
31	31	1	1	12/8	2	1	I					A	I		I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
31	31	9/8	9/8	12/8	2	1	viio					A	I		viio	vii	o						o	0	0	8, 5, 2		8	8	1	2	0.3333333333333333	0.125	0.375	0.25
31	31	11/8	11/8	12/8	2	1	vi					A	I		vi	vi							m	0	0	6, 3, 7		6	6	0	2	0.0	0.0	0.25	0.0
32	32	0	0	12/8	2	1	V7					A	I		V7	V		7.0					Mm7	0	0	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.75	0.0
32	32	1/4	1/4	12/8	2	1	vi					A	I		vi	vi							m	0	0	6, 3, 7		6	6	0	3	0.0	0.0	0.375	0.0
32	32	3/8	3/8	12/8	2	1	V65					A	I		V65	V		65.0					Mm7	0	0	8, 5, 2, 4		4	8	0	5	0.0	0.0	0.75	0.0
32	32	5/8	5/8	12/8	2	1	vi6					A	I		vi6	vi		6.0					m	0	0	3, 7, 6		6	3	0	3	0.0	0.0	0.375	0.0
32	32	3/4	3/4	12/8	2	1	V7					A	I		V7	V		7.0					Mm7	0	0	4, 8, 5, 2		4	4	4	7	0.3636363636363636	0.5	2.0	0.2
