composer,n,S,A,W
All,71017,0.5090048861540195,0.2728783249081206,0.21811678893785996
Bach,14618,0.5538377343001779,0.2997674100424135,0.14639485565740867
Beethoven,35739,0.48960519320630125,0.26956546070119475,0.24082934609250398
Chopin,5703,0.5512887953708574,0.2084867613536735,0.24022444327546905
Liszt,3247,0.48383122882660917,0.2503849707422236,0.2657838004311672
Mozart,11710,0.4986336464560205,0.2870196413321947,0.2143467122117848
